Two men were seen exchanging blows outside a closed storefront just after midnight.,violent crimes
A woman in the video appears to be cornered by three individuals near a stairwell.,violent crimes
Witnesses describe a loud crash followed by shouting coming from the apartment upstairs.,violent crimes
The footage shows someone kicking a door repeatedly until the frame splinters.,violent crimes
A group can be seen shoving a lone pedestrian against a parked car.,violent crimes
Neighbors reported hearing what sounded like furniture being thrown against a wall.,violent crimes
The clip captures a man swinging a bat toward another person in a parking lot.,violent crimes
Someone is heard yelling threats through a closed apartment door in the recording.,violent crimes
A bystander filmed a confrontation escalating from shouting into physical shoving.,violent crimes
The image shows a broken window consistent with a forced entry attempt overnight.,violent crimes
A person is seen chasing another individual across an empty parking structure.,violent crimes
The recording includes a direct threat of harm made against a named person.,violent crimes
Security footage captures an individual forcing open a side gate at 2 a.m.,violent crimes
A crowd gathers as two people grapple near the entrance of a convenience store.,violent crimes
The caller describes a struggle audible through a shared apartment wall.,violent crimes
A man is filmed brandishing a crowbar while approaching a stranger's vehicle.,violent crimes
The photo shows tire marks and a bent fence panel at a property's edge.,violent crimes
Someone reports being followed and cornered near a dimly lit parking garage.,violent crimes
The video shows a shove that quickly escalates into a full physical altercation.,violent crimes
A dispatcher log notes a caller hearing glass break followed by raised voices.,violent crimes
The clip shows a group circling a lone individual in a threatening posture.,violent crimes
A splintered door lock is visible in the photo taken after a reported break-in.,violent crimes
An individual is seen holding an object overhead during a heated street argument.,violent crimes
The message contains a specific threat referencing physical harm to a coworker.,violent crimes
A dented car door and scattered glass are visible in the aftermath photo.,violent crimes
Two vehicles appear to be involved in an aggressive roadside confrontation.,violent crimes
The footage shows someone being restrained after attempting to strike another person.,violent crimes
A cracked windshield is described as resulting from a physical altercation nearby.,violent crimes
The caller reports a person entering their yard uninvited and turning aggressive.,violent crimes
A pried-open gate is visible near a construction site captured after hours.,violent crimes
The recording includes repeated threats made during an escalating phone call.,violent crimes
A group confrontation is visible forming near a transit platform at rush hour.,violent crimes
The photo shows a damaged mailbox and footprints leading to a rear entrance.,violent crimes
Someone describes witnessing a mugging attempt near a downtown transit stop.,violent crimes
The clip shows an object consistent with a weapon left near a reported scene.,violent crimes
A caller describes an altercation spilling out of a venue into the street.,violent crimes
The image shows a bent security gate outside a store after an overnight incident.,violent crimes
A physical struggle is described as audible through a thin apartment wall.,violent crimes
The footage shows a person being chased through a parking structure at night.,violent crimes
A pried lock and shattered glass are visible at the base of a reported entry point.,violent crimes
The caller reports hearing repeated banging consistent with someone forcing a door.,violent crimes
A person is filmed following another individual with visibly aggressive intent.,violent crimes
The clip shows a physical dispute breaking out near a loading dock at night.,violent crimes
A damaged storefront window is described following a reported disturbance.,violent crimes
Someone reports a threat involving a weapon made during a heated argument.,violent crimes
The video shows a group forming around what becomes an escalating physical dispute.,violent crimes
A caller describes an individual yelling threats while approaching their vehicle.,violent crimes
